__label__贴片电容 , 	贴片 电容 贴片 电容 贴片 电容 1000 uf 6.3 v 1000 uf 6.3 v 8 * 10.5 400.0 0.278 lc
__label__贴片高精密-低温漂电阻 , 	ar03ftc4422 25ppm 44.2 k ω 4422 44.2 k 贴型 贴型 1 16w ± 1% 0603
__label__薄膜电容 , 	cl21 0.022 uf 400v 5% 7.5 22nf ± 5% 400v through hole p 7.5 tongfeng 铜峰
__label__MOSFET , 	133148 1 1 . mx . ssm3k361r0000 贴片 mosfet ssm3k361r sot23f 10 y
__label__水泥电阻 , 	cr l5w1.5 k ω j ± 5% 1.5 k 7w 1.5 k ω 152 axial
__label__功率电感 , 	pcd0403kt221 ± 10% 220uh smd 4.5 x4x3.2 mm
__label__发光二极管 , 	19 21sygc s3316 tr8 黄绿光 0603
__label__功率电感 , 	aspi 7318 1r5m t 固定 电感器 1.5 uh 20% 55c 125c abracon
__label__功率电感 , 	yprh1209 681m ± 20% 680uh 730m ω 0.83 a smd 12x12x10mm yjycoin 益嘉源
__label__薄膜电容 , 	c153 . 047mf 2 50v mylar 1429 2473
__label__轻触开关 , 	ts 1001v ar05026 3 6 5.0 支架 轻触 开关 260gf 3 6 5.0 260gf 支架 轻触 开关 3 6 5.0 mm xunpu 普
__label__色环电感 , 	100uh rfc1002 axial0.4 inductor bpf * *
__label__PTC热敏电阻 , 	tfpt0805l4701fv 541 1186 1 nd ptc thermistor 4.7 kohms 0805 2125 metric
__label__发光二极管 , 	67 22suruyc s530 a2 tr8 红 黄 双色 光 smd 3.5 x2.8 mm
__label__功率电感 , 	sqh6012s 330m lf ± 20% 33uh smd 6.2 x6.2 x1.2 mm coilmaster 统宇 电研
__label__USB连接器 , 	zx62r b 5p j4 j6 conn rcpt micro usb b top mnt zx62r b 5p h11574ct nd smt zx62r b 5p
__label__放大器 , 	ic ad8032 dual op amp analog devices ad8032anz analog devices ad8032anz 4.47 ad8032 free sample 6 bd
__label__功率电感 , 	yslf1045 470m 1.4 a ± 20% 120m ω 47uh smd 10.1 x10.1 x4.5 mm yjycoin 益嘉源
__label__功率电感 , 	fnr3012s4r7mt 磁封胶 功率 绕线 电感 4.7 ± 20% μ h 饱和电流 1a 3.0 3.0 1.2 mm cjiang
__label__功率电感 , 	hei322512a 2r2m q8 2.2 uh 2.7 a ± 20% smd 3.2 x2.5 x1.2 mm chilisin
__label__无源晶体振荡器 , 	12mhz cl 8pf 10ppm 40 ℃ 85 ℃ crsy 2520 hosonic esa12.00000 f08e33f 1 0 1000
__label__金属膜电阻 , 	15.309999999999995 直插 电阻 2.0 k 3w 金属膜 5% 2 8 rss03j2001a640nh
__label__安规电容 , 	mpx684k31e4kn15800 275vac 305vac 3 10v ac 680nf 684 ± 10% 684k x2 安规 电容器 through hole p 22.5 mm knscha 科尼盛
__label__DC-DC芯片 , 	66 16p8301a0 u04 s000097 ic reg buck adjustable 25a 22son tps56221dqpr son 12
__label__功率电感 , 	prs8040 3r3mt 3.3 uh ± 20% smd 8x8x4mm fenghua
__label__贴片电解电容 , 	c11 100 uf 25v cpol us153clv 0605 153clv 0605 polarized capacitor 20
__label__线对板线对线连接器 , 	10 84 4150 管脚 插座 连接器 header vert male 15p
__label__功率电感 , 	sqh3010s 4r7m lf 4.7 uh 750ma ± 20% smd 3.1 x3.1 x1mm coilmaster 统宇 电研
__label__NTC热敏电阻 , 	ntc ntcle101e3c90172 bc2906 nd therm ntc 5kohm 3324k radial
__label__压敏电阻 , 	ftr14d431k through hole p 7.5 mm ftr 乔光
__label__压敏电阻 , 	b72210s0381k101 620v 175pf 385v 505v 558v 620 558 682 682v through hole p 7.5 mm
__label__功率电感 , 	smnr3012 470mt 47uh ± 20% 3.0 * 3.0 * 1.2 sxn
__label__薄膜电容 , 	ecq e4474kf 0.47 uf 15mm film 400v c4 0.47 uf 10% 400v 0.47 uf 1 200
__label__功率电感 , 	cr3015 3r3m ± 20% 3.3 uh smd 3.0 x3.0 x1.5 mm ceaiya 柯爱亚
__label__采样电阻 , 	cum2512 24fr300 0.300 ω r300 2w 贴片 合金 电阻 ± 1% 0.3 ± 50ppm ° c 贴型 贴型 2512 fort 致强
__label__贴片高精密-低温漂电阻 , 	ptfr0603b120kp9 120k ± 25ppm 贴型 1 10w 120k ω 120k ± 0.1% ± 25ppm ℃ 贴型 0603 resistortoday 开步
__label__NTC热敏电阻 , 	ntc ntc0805j10k a106104dkr nd thermistor ntc 10kohm 0805
__label__绕线电阻 , 	绕线 电阻 nknp2ws 10 ω ± 5% 2w 10 10 ω 100 ± 5%
__label__贴片电感 , 	4r7 cd43 电感 cd43np 4.7 uh 2.0 100.0
__label__锅仔片 , 	sk5am00340 锅 仔片 alps 阿尔卑斯
__label__直插瓷片电容 , 	corporation sr305e105mar cap cer 1.0 uf 50v 20% radial
__label__贴片电阻 , 	47 resistor r144 0402 r144 3103.921 1138.732 180.0 bottom
__label__NTC热敏电阻 , 	ntcs0402e3472jmt bc2327tr nd therm ntc 4.7 kohm 3595k 0402
__label__压敏电阻 , 	b72207s0381k101 620 558 682 85pf 682v 620v 558v 1.2 ka 385v through hole
__label__功率电感 , 	1211004304 inductor 1.5 uh 20% 6a smd 2p pcmb053t 1r5ms 乾坤 cyntec co . ltd pcmb053t 1r5ms l9 1
__label__安规电容 , 	px104k2c1008 3 10v 100nf ± 10% 100nf 104 3 10v ac 10 through hole p 10mm kyet 科雅
__label__功率电感 , 	12 inductor 5.2 x 5.2 x 2.8 mm 2.2 a 4.7 uh sru5028 4r7y fn 136 2087 pc 200.0 sru5028 4r7y
__label__数字三极管 , 	q21 pdtc143eu npn res . equipped transistor 100ma sc 70 pdtc143e 100ma s sc70 3 pdtc143e
__label__功率电感 , 	swpa4018s221mt 片式 电感 220 μ h ± 20% dcr 4 ω 4.0 4.0 mm sunlord
__label__以太网芯片 , 	1394 接口 集成电路 six port cable xcvr arbiter
__label__轻触开关 , 	ts 1089b b3d2 轻触 开关 6.0 * 3.60 * 2.7 常 开式 硅胶 圆黑 250gf 6.0 x3.60 x2.7 mm yuandi 元迪
__label__贴片电容 , 	22.0 4.0 c51 c55 c624 c639 18pf 0402 cc c smd cer 18pf 5% 50v c0g 0402 t0.5 mm lt lf 80
__label__拨动开关 , 	v80212ma08qe 滑动 开关 slide c k
__label__薄膜电容 , 	b32529c0472j289 4.7 nf 63v ± 5% through hole p 5mm
__label__压敏电阻 , 	471kd14 c3.5 through hole brightking
__label__压敏电阻 , 	ste14d151k1en0fsb0r0 2 50v 165v 150 135 165 14d151k 135v 125v 4.5 ka 品 1 50v through hole ste
__label__功率电感 , 	scds125t 100m n ± 20% 4a 10uh smd 12.5 x12.5 x6.0 mm chilisin
__label__贴片高精密-低温漂电阻 , 	tc0525d100jt5e 25ppm 1 4w 10 贴型 10 ω 贴型 ± 25ppm ℃ ± 0.5% 0805 uni royal
__label__拨码开关 , 	cdm 08 8 位 smd p 2.54 mm chau hua
__label__功率电感 , 	slw5012s4r7mst ± 20% 4.7 uh 1.65 a smd 5x5x1.2 mm sunltech
__label__功率电感 , 	aspi 0804t 100m t 固定 电感器 10uh 20% 55c 125c abracon
__label__贴片电容 , 	c4 c12 c15 c17 c18 c23 cap x5r 1.0 uf 10% 6.3 v 0402 grm155r60j105ke19d cl05a105kq5nnnc digi key 490 1320 1 nd 0.0087 digi key 1276 1010 1 nd 0.009
__label__贴片电容 , 	2 300 c6 c7 22 uf 16v 0805 贴片 电容 22 uf ± 20% 16v
__label__信号开关多路复用解码器 , 	u1 u2 u5 8 bit bus switch tssop 20 fst3345mtc
__label__贴片高精密-低温漂电阻 , 	tc0650f9761t5e 1 3w 9.76 k ± 1% ± 50ppm ℃ 贴型 贴型 9.76 k ω 50ppm 1206 uni royal
__label__贴片电容 , 	0.1 3.02 . 00099 贴片 电容 121 50v 5 ％ npo c0603 4000
__label__薄膜电容 , 	c212j473j4ay350 ± 5% 47nf 630v 105 ℃ 55 ℃ 10 47nf 473 through hole p 10mm farad
__label__压敏电阻 , 	220kd20j through hole brightking
__label__功率电感 , 	hpi252012 1r0m ± 20% 1.0 uh smd 2.5 x2.0 x1.2 mm 3l
__label__NTC热敏电阻 , 	ntc ntcle100e3683jt2 ntcle100e3683jt2 nd therm ntc 360kohm 4190k bead
__label__采样电阻 , 	rtt20r033fte ± 1% 3 4w 0.033 ω r033 贴型 贴型 ± 900ppm ° c 0.033 2010 ralec
__label__按键开关 , 	k8 7071d n1 无声 无锁 7 * 7mm hro
__label__数模转换芯片 , 	14 12 位 d a 转换器 tlv5638qd 扩展 40 125 ℃ so8 n1 1 3
__label__以太网芯片 , 	1394 接口 集成电路 ieee p1394b 3 port cable xcvr arbiter
__label__轻触开关 , 	ts fs1212t c i 12 * 12 * 8.0 插件 轻触 开关 260gf xkb
__label__贴片电阻 , 	150 r eu r0603 r0603
__label__数字三极管 , 	贴片 三极管 9014 0.1 a 50v sot 23 sot 23 2.0 vt1 vt2 2000
__label__贴片高精密-低温漂电阻 , 	ar02dtc2001 ± 0.5% 2k ω 2001 1 16w 贴型 2k 贴型 0402
__label__贴片电阻 , 	0603 片阻 12k ω ± 5% r0603 1
__label__金属膜电阻 , 	resistors metal film t184052 mf006ff5100a10 510r 0.6 w 1% mf60s metal film resistor royal ohm 3000
__label__轻触开关 , 	tbf221kqr 2.9 * 3.5 * 1.7 mm 贴片 贴片 轻触 开关 100gf 克力 smd diptronics
__label__压接端子 , 	端子 copper comp lug 1h 6 awg
__label__采样电阻 , 	sr732attdr150f 330mw 贴型 0.15 ω r150 ± 100ppm ° c 贴型 0.15 ± 1% 0805 koa
__label__采样电阻 , 	cr1206jr036p05z ± 5% 1 4w 贴型 ± 1800ppm ° c 0.036 贴型 0.036 ω r036 1206 ever ohms 天二
__label__拨码开关 , 	em 08 v t r 8pin 位 8 位 贴片 拨码 平拨 高杆 间距 2.54 mm 贴片 拨码 开关 smd diptronics
__label__PTC热敏电阻 , 	ptc b59601a0115a062 495 2412 1 nd thermistor ptc 470 ohm 50% 0603
__label__轻触开关 , 	tc 1109de c g 4.5 * 4.5 * 6.5 边 三脚 轻触 开关 260gf through hole xkb
__label__贴片高精密-低温漂电阻 , 	tc0325d3162t5h ± 0.5% 31.6 k ω 25ppm 0603 uni royal
__label__薄膜电容 , 	capacitor 0.047 uf 50v polycarbonate box 46 2 10 axial lead white 44f2238
__label__通信卫星定位模块 , 	neo 6 module module
__label__功率电感 , 	ynr3010 4r7m ± 20% 4.7 uh 0.75 a smd 3.0 x3.0 x1.0 mm yjycoin 益嘉源
__label__功率电感 , 	prs6028 4r7nt ± 30% 4.7 uh smd 6x6x2.8 mm fenghua
__label__功率电感 , 	744 561 22 wuerth o604 coil choke 22uh smd 1380
__label__贴片电容 , 	19 vj0603y104jxx capasitor 100nf toleranc 5% 0603 automotive 12weeks moq 48k 260000 0.0045 1170
__label__电容器阵列与网络 , 	电容器 阵列 网络 w2l14z225mat1s w2l14z225mat1s 电容器 阵列 网络 4volts 2.2 uf 20% x7s 0508
__label__发光二极管 , 	hl a 4014h489w s1 hr3 dm hl 6000k 7000k 0.2 w 低亮 4014 白色 光亮 60ma 23lm plcc 2
__label__贴片高精密-低温漂电阻 , 	rk73g1ettp10r0f thick film resistors 1 16w 10 ohms 1% 1 10w 50ppm koa
__label__发光二极管 , 	发光 二极管 green led holder 綠 30ma 3 dip kuang tien kuang tien klh 3n4g s9b 1 100 lio 53302 1.0
__label__贴片电解电容 , 	铝质 电解 电容器 smd 贴片 电解电容 10 uf 35v vej100m1vtr 0506 c44 c47 c54 3 30
__label__金属膜电阻 , 	resistors metal film t421971 sfr16s0001509ja500 15r 0.5 w 5% sfr16s mf resistor 2322 187 53159 7000
__label__功率电感 , 	yprh8d43 4r7m 4.6 a ± 20% 4.7 uh smd 8x8x4.5 mm yjycoin 益嘉源
__label__轻触开关 , 	ts 1057w 03126 260gf 贴片 红柄 轻触 开关 smd 6.4 x6.0 x3.1 mm xunpu 普
__label__功率电感 , 	uhp252012nf 220m 22uh ± 20% smd 2.5 x2x1.2 mm tai tech
__label__排阻 , 	resistors resistor networks t791685 rnla09g0331b0e 330r 9p8r 2% rnla sil resistor network royal ohm 1631
__label__功率电感 , 	nr3015t150m 固定 电感器 3015 15uh 432mohms 20% 560ma lwprfl taiyo
__label__贴片电阻 , 	2 贴片 电阻 20k ω 2002 ± 1% rs 05k2002ft fh 0805 5000
__label__磁珠 , 	33 16p8302b0 l01 s000291 ferrite bead 600 ohm 0603 1ln blm18kg601sn1d 贴片 磁珠 30 9 270
__label__拨码开关 , 	dpl 02rp 2 档 插脚 拨码 开关 dpl 02 2.54 间距 侧面 红色 xkb
__label__采样电阻 , 	cr1206jr091p05r ± 5% 1 4w 贴型 贴型 0.091 0.091 ω r091 ± 800ppm ° c 1206 ever ohms 天二
__label__薄膜电容 , 	mef474k250d03 470nf p20 ± 10% 470nf 474 85 ℃ 仅供参考 40 ℃ 2 50v through hole jimson 智新
__label__行程开关 , 	k5 1670da 02 8.00 mmx6.50 mm 压柄 through hole hro
__label__压敏电阻 , 	5d431k 473v 745v 430v 430 387 473 387v 3 50v 400a through hole hel
__label__采样电阻 , 	ylr12 3 47f w 3w ± 1% 47m ω 2512 yezhan
__label__贴片高精密-低温漂电阻 , 	rn73h1jttd3302b25 thin film resistors 33kohm 0603 0.1% 25p pm 100mw 75v koa
__label__贴片电阻 , 	r0603 100r r4 r5 r6 r7 r8 r9 r10 r11 5% 8 1600
__label__薄膜电容 , 	capacitor . 022 uf polypropylene radial lead box 72 3 50 p3856 nd aka 22 nf
__label__数字三极管 , 	18 trans gp bjt npn 45v 0.8 a 3 pin to 92 ammo bc337 25 to 92 18000 5000 box
__label__压接端子 , 	amp 8 61060 1 端子 nyl rec 22 18 nat . 110 x . 020
__label__贴片电感 , 	nlcv32t 100k pf 210.0 fixed ind 10uh 450ma 360 mohm 1210
__label__贴片电阻 , 	0603 10k ω 1002 1% 0603waf1002t5e uni royal r2 r3 r4 r5 r15 r16 r19 r20 8 80
__label__有源晶体振荡器 , 	1xtv12800pda 压 控温 补 晶振 12.8 mhz 10pf 40 85 ℃ smd 3225 4p kds
__label__贴片高精密-低温漂电阻 , 	resistor 1.54 k ohm 0.1% smt box 71 18 50 tnpw12061k54bety
__label__内存连接器 , 	conn micro sd card push push r a xktf 001b xkb sd 卡座 400
__label__轻触开关 , 	1ts028a 1200 0600 ct 120gf smd 2.8 x1.9 x0.58 mm hyp 鸿源 精密
__label__功率电感 , 	smdri74 470mt 贴片 功率 电感 47uh ± 20% 74 sxn
__label__轻触开关 , 	k6 1212a 03 绿色 hro
__label__采样电阻 , 	cr1206jr062p05r ± 5% 1 4w 0.062 ω r062 贴型 0.062 贴型 ± 800ppm ° c 1206 ever ohms 天二
__label__可调电阻电位器 , 	resistors potentiometers t822783 pt10lv10 103a2020s 10k horizontal preset potentiometer piher 2193
__label__贴片高精密-低温漂电阻 , 	ar06ats1000 ± 5ppm ℃ ± 0.05% ± 5ppm ℃ 贴型 100 ω 1000 1 8w 100 贴型 1206
__label__功率电感 , 	cr6045 100m ± 20% 10uh smd 6.0 x6.0 x4.5 mm ceaiya 柯爱亚
__label__轻触开关 , 	k2 1109sp c4sa 04 4.5 mm * 4.5 mm * 4.8 mm smd hro
__label__贴片高精密-低温漂电阻 , 	rn73h1ettp2401b25 thin film resistors 2.4 kohm 0402 0.1% 25 ppm 63mw 50v koa
__label__氧化铌电容 , 	nojv108m002rwj 478 3201 2 nd 1000 niobium oxide capacitor 2.5 v 2924 7361 metric 300 mohm
__label__金属膜电阻 , 	resistors metal film t626417 pprr 193 15332 3k3 1w 5% pr01 mf resistor pprr 193 15332 pilkor 3000
__label__采样电阻 , 	ste1206m1w0r047f 0.047 1w 贴型 47m ω r047 贴型 ± 50ppm ° c ± 1% 1206 walter 华德
__label__可调电阻电位器 , 	2.0 r17 r18 through hole trimmer resistors 1.0 kohms 6mm sq pv37w102c01b00 81 pv37w102c01b00 858 64wr1klf 490 2969 nd 2.08 4.16
__label__贴片电容 , 	c103 cap 0.1 uf 0.1 c0402 sig bottom l8 smd capacitor b37921c9104k60 495 3265 1 nd
__label__贴片电阻 , 	贴片 电阻 电阻 smd 39.2 k ohm 1% 0603 rc0603fr 0739k2l 2 200 mbs 5330 2.0
__label__排针排母 , 	ds1023 2 * 4sf11 2 2.54 双排母 2.54 排母 2 * 4 直针 8.5 mm 镀 全金 2 2.54 mm connfly
__label__压敏电阻 , 	vdr 10d151k 150 135 165 165v 1 50v 135v 2 50v 125v 2.5 ka through hole vdr
__label__直插电解电容 , 	直插 电容 c3 1 c6 1 22 uf 50v ￠ 5 * 11
__label__CAN芯片 , 	贴片 芯片 tja1040t so8 tja1040t 735
__label__贴片电容 , 	18 c4 c5 c6 c7 c19 陶瓷 电容 cl05a104ka5nnn 0.1 uf ± 10% 25v x5r 0402 em s l 5 11000.0 c19 仅 sp 15 cl05a104ka5nnnc 0.0063 20000.0 moq 10k lc
__label__功率电感 , 	swpa3015s151mt 片式 电感 150 μ h ± 20% dcr 3.8 ω 3.0 3.0 mm sunlord
__label__电容器阵列与网络 , 	电容器 阵列 网络 w3l1zc105kat1a w3l1zc105kat1a 电容器 阵列 网络 1.0 uf 10v 10%
__label__肖特基二极管 , 	d104 cmhsh5 4 central semiconductor corp . cmhsh5 4 diode sch smt sod 123 piv 40v if 0.5 a 65 degc to 125 degc
__label__采样电阻 , 	rtt05r033ftp ± 1% 1 8w 贴型 0.033 0.033 ω r033 贴型 0805 ralec
__label__贴片电阻 , 	erj 2rkf1003x r1 r14 r16 r47 r55 r71 r73 res smd 100k 1% 1 10w 0402 res 100k 1% 0402 p100klct nd 100kohms 1 10w r0402
__label__发光二极管 , 	hq19 2232vyygw 0603x2 雾面 三元 黄 黄绿 双色 0603 x2 harvatek
__label__功率电感 , 	crh201610s 2r2mt ± 20% 2.2 uh smd 2.0 x1.6 x1.05 mm ceaiya 柯爱亚
__label__MOSFET , 	mos管 nce70t680f mosfet nce70t680f 700v 7a to 220 20000 q1 q2
__label__贴片电阻 , 	r1 r34 crcw08050000z0eahp draloric 0 resistor 0805 0 ohm 0% jumper 0.5 w thick film
__label__薄膜电容 , 	c15 0 1 uf 10% 630vdc 400vac 1 radial capacitor thru hole body 8.0 x 16.0 x18.0 mm wxhxl pin spacing 15.0 mm 10% mpb mkp10 manual radial
__label__功率电感 , 	yprh105r 471m ± 20% 470uh 1.289 ω 0.6 a smd 10.2 x10x4.8 mm yjycoin 益嘉源
__label__绕线电阻 , 	resistors wire wound t682500 ac05000001500jac00 150r 5w 5% ac05 wirewound resistor 2322 329 05151 781
__label__功率电感 , 	smnr5040 6r8mt 贴片 功率 电感 6.8 uh ± 20% 5040 sxn
__label__无源晶体振荡器 , 	晶振 32.768 k ssp t7 smd 3000
__label__轻触开关 , 	k2 1822sa a3dw 06 开关 带 固定 柱 3.0 mm * 2.5 mm * 1.5 mm smd hro
__label__拨码开关 , 	vdg 04lg r tonver
__label__功率电感 , 	smms1040 2r2m 2.2 uh 2.2 uh 12.0 a 7.2 m ω 成形 电流 磁 功率 电感 ± 20% 11.5 * 10.0 * 4.0 sxn
__label__发光二极管 , 	67 21subc s400 a4 tr8 led smd super blue
__label__板对板连接器 , 	2.54 mm receptacle 6x1 way 2.54 mm receptacle 6 2.54 mm ssw 106 01 g s to connectors 2.54 mm pitch 2.54 mm pitch receptacle
__label__排阻 , 	排列 電阻 ar9p8rg1k 排阻 9p8r 2% 1k 2000
__label__贴片高精密-低温漂电阻 , 	rn732attd15r0b25 thin film resistors 15ohm 0805 0.1% 25pp m 100mw 100v koa
__label__压接端子 , 	panduit dnf14 206fib 3k 端子 disco female fully insul
__label__轻触开关 , 	ts 1080d a7b3 d1 轻触 开关 6.2 * 6.2 * 5.0 四脚 插件 红 钮头 250gf through hole 6.2 x6.2 x5.0 mm yuandi 元迪
__label__贴片电阻 , 	贴片 电阻 471 ± 5 ％ 电阻 r25 r34 1206 20 2
__label__贴片高精密-低温漂电阻 , 	arg05ftc0820n 82 ± 1% 贴型 贴型 1 8w ± 25ppm 82 ω 82r0 0805
__label__云母电容 , 	云母 ptfe 电容器 cornelldubilierelectronics cde 零件 有源 电容 220pf ± 5% 500v 云母 55 ° c 125 ° c 通孔 引线 间距 0.232 5.90 mm 0.461 x0.201 11.70 mmx5.10 mm 0.382 9.70 mm
__label__钽电容 , 	120.0 2002020009 钽电容 件 3.0 b 240 tan kemet t491c226k025at 06032 22 uf 0.1 25v
__label__功率电感 , 	prs6028 101mt 100uh ± 20% smd 6x6x2.8 mm fenghua
__label__贴片电阻 , 	贴片 电阻 电阻 smd 100k ohm 5% 0603 rc0603jr 07100kl 2 200 mbs 5330 2.0
__label__功率电感 , 	22 4b3901b0 l11 s000082 fixed ind 1uh 1.15 a 78 mohm 0805 mlz2012n1r0l 70
__label__功率电感 , 	jshc1040 6r8m 6.8 uh ± 20% 7a smd 11.8 x10.8 x4.0 mm jinlai 金籁
__label__发光二极管 , 	hq17 2202rwc 红 白 双色 0805 smd 2x1.25 mm harvatek
__label__贴片高精密-低温漂电阻 , 	arg05ftc1584n ± 25ppm ℃ ± 1% 1.58 m ω 1584 1.58 m 贴型 贴型 1 8w 0805
__label__贴片高精密-低温漂电阻 , 	mct06030c1001fp500 薄膜 电阻器 smd . 1w 1kohm 1% 0603 50ppm auto
__label__贴片高精密-低温漂电阻 , 	1 精密 电阻 10k 0.1% 20ppm 01c 0603 r r31 r10 r16 r22 r23 r24 r30 8 512
__label__金属膜电阻 , 	resistors metal film t646266 pprr 194 15394 390k 2w 5% pr02 mf resistor pprr 194 15394 pilkor 1000
__label__轻触开关 , 	ts 1101nh c b b 3 * 6 * 5.0 贴片 白色 无柱 250gf 翘脚 xkb
__label__安规电容 , 	cs11zu2ga472mygka 瓷片 电容器 4700pf x1 440vac y2 300vac radial
__label__拨动开关 , 	ss 3235s l3 微 拨动 开关 w9.1 * d3.55 * h3.3 贴片 垂直 双排 xkb
__label__贴片高精密-低温漂电阻 , 	arg06ftc0330 ± 25ppm ℃ 33 ± 1% 1 4w 33 ω 33r0 贴型 贴型 1206
__label__DDRSSD存储器 , 	85 16p8302b0 u07 s000163 ic dram 4g parallel 96fbga mt41k256m16ha 125 it e micron bga 180
__label__ARM微控制器-MCU , 	lpc4367jet100 arm cortex m4 mcu 100bga 1m flash lpc4367jet100 100 tfbga color fill with indelible marker silkscreen box om13088 on bottom side .
__label__贴片电阻 , 	贴片 电阻 1206 1 4w 4r7 ± 5% 1206 6 500 3000 r78 r79 r81 r82 r84 r85
__label__贴片电阻 , 	电阻 电阻 24k ω ± 1% 1 20w 0201 0.26 mm rc0201fr 0724kl 1 1000 r3304
__label__贴片高精密-低温漂电阻 , 	arg05ftc2100 210 ω 2100 ± 25ppm 贴型 1 8w 贴型 210 ± 1% 0805
__label__采样电阻 , 	rtt25r056fte 0.056 0.056 ω r056 1w 贴型 ± 500ppm ° c 贴型 ± 1% 2512 ralec
__label__采样电阻 , 	ww08wr200ftl 1 4w 贴型 0.2 0.2 ω r200 ± 100ppm ° c 贴型 ± 1% 0805
__label__无源晶体振荡器 , 	dt 26 32.768 khz 20ppm 12.5 pf 32.768 khz radial 2x6mm kds
__label__压敏电阻 , 	b72220s0271k101 275v 850nf through hole
__label__发光二极管 , 	e6c1209rygc2uda 贴片 发光 二极管 led 1209 红 黄绿
__label__NTC热敏电阻 , 	ntc ma100gg103bn 235 1399 nd ntc thermistor 10k 探头 组件
__label__发光二极管 , 	e6c1209rgbc3uda 贴片 发光 二极管 led 1209 红 绿 蓝
__label__功率电感 , 	scds74t 560m n ± 20% 56uh 0.75 a smd 7.3 x7.3 x4.5 mm chilisin
__label__安规电容 , 	cy1471me19ee45w0a2 y1 安规 电容 容值 470pf ± 20% 脚距 10mm dersonic
__label__贴片电容 , 	贴片 电容 30p 805 c10 c9 2.0 40.0
__label__无源晶体振荡器 , 	贴片 晶振 27.12 mhz xtal 3225 smt sx1 1 300
__label__排针排母 , 	a2005wv 7p 针座 连接器 0.079 2.00 mm 2.0 排针 直插 7 位 连接器
__label__功率电感 , 	31 功率 电感 22uh 7 * 7 * 3.5 mm 220 smd 2 2 l2 l1 1000 1
__label__轻触开关 , 	pts840esdgmpsmtrlfs 轻触 开关 3.5 mm * 3.55 mm 160gf 3.5 * 3.55 mm c k
__label__FFCFPC连接器 , 	sfv6r 2ste1hlf j17 conn smd fci 6 pin ffc . 5mm top 6 pin . 5mm ffc top 609 4333 1 nd ffc 6p 0.5 mm mount pcb bottom side .
__label__功率电感 , 	slw3015s1r0nst 2.10 a 1uh ± 30% smd 3x3x1.5 mm sunltech
__label__贴片高精密-低温漂电阻 , 	tr1206d121kp0525 121k 1 4w 121k ω 121k 贴型 ± 25ppm ℃ ± 0.5% 贴型 25ppm 薄膜 电阻 1206 ever ohms 天二
__label__贴片高精密-低温漂电阻 , 	tc0250b2551tcc 高精度 薄膜 晶片 电阻 tc02 50ppm ± 0.1% 2.55 k ω uni royal
__label__贴片高精密-低温漂电阻 , 	tc0325b1001t5e 高精度 薄膜 晶片 电阻 tc03 25ppm ± 0.1% 1.00 k ω uni royal
__label__功率电感 , 	tmpc0603h 4r7mg d ± 20% 4.7 uh 5.5 a smd 7.3 x6.6 mm tai tech
__label__贴片电解电容 , 	铝质 电解 电容器 smd 220 uf cp elec 8x6.9 pcr1c221mcl1gs polarized capacitor 100
__label__贴片高精密-低温漂电阻 , 	rt0402bre0720kl thin film resistors
__label__采样电阻 , 	30 贴片 采样 电阻 1 0.006 r 3.2 * 6.4 mm kt1
__label__直插瓷片电容 , 	rcer71h105k2k1h03b 陶瓷 电容器 mlcc 引线 1.0 uf 50v olts x7r ls 5mm 10%
__label__直插电解电容 , 	电解电容 4.7 uf 50v 高频 金字 m 40 105 ℃ 5 * 11 3000 ec103 5 * 12 pin 距 2.0 mm 1.0 3000.0
__label__氧化铌电容 , 	noje687m002rwj 478 8866 2 nd 680 niobium oxide capacitor 2.5 v 2917 7343 metric 300 mohm
__label__贴片高精密-低温漂电阻 , 	ar05ftc1070 107 1 10w 25ppm 贴型 107 ω 1070 贴型 ± 1% 0805
__label__功率电感 , 	nrs5020t1r5nmgj 固定 电感器 5020 1.5 uh 31.2 mohms 30% tol 3200ma taiyo
__label__安规电容 , 	q08f1d152mn0b0s0n0 400vac y1 安规 电容 10 ± 20% 1.5 nf through hole p 10mm ste
__label__NTC热敏电阻 , 	nths1206n03n1001jp nths1206n03n1001jp nd thermistor ntc 1kohm 3181k 1206
__label__功率电感 , 	slf1005 3r3mtt 3.3 uh ± 20% smd 10x9x5.4 mm sunltech
